'cause	k AH z
appreciatively(2)	AH p r IY SH j AH t IH v l IY
apprehend	AE p r IH h EH n d
apprehensive	AE p r IH h EH n s IH v
apprised	AH p r AY z d
apprises	AH p r AY z IH z
approach	AH p r OW CH
approachable	AH p r OW CH AH b AH l
approaching	AH p r OW CH IH NG
appropriate(2)	AH p r OW p r IY EY t
appropriators	AH p r OW p r IY EY t ER z
approved	AH p r UW v d
approximation	AH p r AA k s AH m EY SH AH n
apricots	AE p r AH k AA t s
apron	EY p r AH n
aprons	EY p r AH n z
apsey	AE p s IY
apter	AE p t ER
aptly	AE p t l IY
aquanauts	AA k w AH n AA t s
aquarists	AH k w EH r IH s t s
aquirre	AE k w ER
aquitaine	AE k w IH t EY n
arabia's	AH r EY b IY AH z
arabic(2)	EH r AH b IH k
arabichon	AH r AE b IH SH AO n
arabichon's	AH r AE b IH SH AO n z
arabs(2)	EY r AH b z
arachnid(2)	ER AE k n IH d
arachnids(2)	ER AE k n IH d z
arakaki	AA r AA k AA k IY
arambula	AA r AA m b UW l AH
araminta	AE r AH m IH n t AH
aramony(2)	EH r AH m OW n IY
aranda	ER AE n d AH
arantxa	AA r AE t s AA
araskog	ER AE s AA g
araujo	AA r AW j OW
araya	ER AY AH
arbat	AA r b AE t
arbiters	AA r b AH t ER z
arbitrageurs	AA r b AH t r AA ZH ER z
arbitrate	AA r b AH t r EY t
arbitrated	AA r b AH t r EY t IH d
arbitrating	AA r b AH t r EY t IH NG
arbitration	AA r b IH t r EY SH AH n
arbo	AA r b OW
arbor	AA r b ER
arboretum	AA r b ER IY t AH m
arbuckles	AA r b AH k AH l z
arc	AA r k
arcades	AA r k EY d z
arcadian	AA r k EY d IY AH n
arcane	AA r k EY n
arce	AA r s
arceo	AA r s IY OW
archaeological	AA r k IY AH l AA JH IH k AH l
archaeologists	AA r k IY AA l AH JH IH s t s
archdiocese	AA r CH d AY AH s AH s
archduke	AA r CH d UW k
archers	AA r CH ER z
arches(2)	AA r CH IH z
archibeque	AA r SH IH b IY k
archimedes	AA r k AH m IY d IY z
arching	AA r CH IH NG
archipelago	AA r k AH p EH l AH g OW
architecturally	AA r k IH t EH k CH ER AH l IY
architecture's	AA r k AH t EH k CH ER z
architrave	AA r k AH t r EY v
architraves	AA r k AH t r EY v z
archives	AA r k AY v z
ardito	AA r d IY t OW
arduino	AA r d w IY n OW
area's	EH r IY AH z
arehart	AE r IH h AA r t
arena	ER IY n AH
arencibia	AA r EH n CH IY b IY AH
arenella's	AA r AH n EH l AH z
arens	EH r AH n z
arentz	AE r IH n t s
areta	AA r EH t AH
aretina	AA r EH t IY n AH
aretta	AA r EH t AH
argenbright	AA r g IH n b r AY t
argentieri	AA r JH EH n t IH r IY
argentina	AA r JH AH n t IY n AH
argentina's	AA r JH AH n t IY n AH z
argentinas	AA r JH AH n t IY n AH z
argentines	AA r JH AH n t IY n z
argh	AA r g
argonaut's	AA r g AH n AO t s
argosy	AA r g AH s IY
argued	AA r g j UW d
argues	AA r g j UW z
argueta	AA r g EY t AH
arguijo	AA r g w IY j OW
argumentative	AA r g j AH m EH n t AH t IH v
argyll	AA r g AY l
argyropoulos	AA r JH IH r AA p OW l AH s
aria	AA r IY AH
ariana	AA r IY AE n AH
arianna's	AA r IY AE n AH z
arid	AE r AH d
arie	EH r IY
ariola	AA r IY OW l AH
arison	EH r IH s AH n
arispe	AA r IY s p IY
aristede's	AA r IH s t IY d z
aristotle's	EH r AH s t AA t AH l z
arizona's	EH r IH z OW n AH z
arizonans	ER IH z OW n AH n z
arjo	AA r JH OW
arkady	AA r k EY d IY
arkin	AA r k IH n
arkose	AA r k OW s
arlene	AA r l IY n
arlyne	AA r l AY n
armament	AA r m AH m AH n t
armando	AA r m AA n d OW
armen	AA r m AH n
armenian	AA r m IY n IY AH n
armentor	AA r m AH n t AO r
armine	AA r m IY n IY
armington	AA r m IH NG t AH n
armold	AA r m OW l d
armour	AA r m ER
armstrong(2)	AA r m s t r AO NG
army's	AA r m IY z
arnalda	AA r n AA l d AH
arnall	AA r n AH l
arnaud	AA r n OW
arnell	AA r n AH l
arnelle's	AA r n EH l z
arneson	AA r n IH s AH n
arney	AA r n IY
arnhold	AA r n h OW l d
arnn	AA r n
arnold	AA r n AH l d
arnolds	AA r n AH l d z
arns	AA r n z
arnst	AA r n s t
arnstein(2)	AA r n s t IY n
arnwine	AA r n w AY n
aromatherapy	AH r OW m AH TH ER AH p IY
arone	ER OW n
aronie	ER OW n IY
aronoff	EH r AH n AO f
arora	AA r AO r AA
around	ER AW n d
arrangements	ER EY n JH m AH n t s
arrearages	ER IH r IH JH IH z
arrears	ER IH r z
arreguin	AA r EY g w IY n
arrieta	AA r IY t AH
arrington	EH r IH NG t AH n
arrive	ER AY v
arrogant	EH r AH g AH n t
arrogate	AE r OW g EY t
arrow's	AE r OW z
arroyo's	ER OY OW z
arruda	AA r UW d AH
arsdale	AA r z d EY l
arsenals	AA r s AH n AH l z
arshia	AA r SH j AH
arteaga	AA r t IY g AH
arter	AA r t ER
artes	AA r t IY z
artesian	AA r t IY ZH AH n
arthotec	AA r TH AH t EH k
arthritis(2)	AA r TH r AY t IH s
arthropod	AA r TH r AH p AA d
arthur's	AA r TH ER z
articulated	AA r t IH k j AH l EY t IH d
artificially	AA r t AH f IH SH AH l IY
artiodactyl	AA r t IY OW d AE k t AH l
artis	AA r t IH s
artisan	AA r t AH z AH n
artist	AA r t AH s t
artman	AA r t m AH n
artra	AA r t r AH
artrip	AA r t r IH p
artworks	AA r t w ER k s
arunachalam	AA r UW n AH CH AA l AH m
arup	ER UW p
arval	AA r v AH l
arvay	AA r v EY
arve	AA r v
arvey	AA r v IY
asahara	AE s AH h AE r AH
asbestosis(2)	AE s b EH s t OW s IH s
asbridge	AH s b r IH JH
ascencio	AA s CH EH n CH IY OW
ascendancy	AH s EH n d AH n s IY
ascot	AE s k AA t
ascott	AH s k AA t
ashaji	AH SH AA JH IY
ashburn	AE SH b ER n
ashes	AE SH AH z
ashman	AE SH m AH n
ashtrays	AE SH t r EY z
asiain	EY z IY EY n
asians	EY ZH AH n z
asiatic	EY ZH IY AE t IH k
asimov	AE s IH m AA v
asimov's(2)	AE z IH m AA v z
askington	AE s k IH NG t AH n
asleson(2)	AE s IH l s AH n
asmaras	AE z m AA r AH z
asmodeus	AE z m AH d EY AH s
aspin	AE s p IH n
aspinall	AE s p IH n AO l
aspirants	AE s p ER AH n t s
aspirants(4)	AH s p AY r AH n s
assaf	AH s AE f
assailant	AH s EY l AH n t
assailants	AH s EY l AH n t s
assailed	AH s EY l d
assam	AA s AA m
assante	AA s AA n t IY
assassinate	AH s AE s AH n EY t
assassinating	AH s AE s AH n EY t IH NG
assassinations	AH s AE s AH n EY SH AH n z
assault	AH s AO l t
assemblage	AH s EH m b l AH JH
assemblers	AH s EH m b l ER z
assembles	AH s EH m b AH l z
assembling	AH s EH m b AH l IH NG
assembly's	AH s EH m b l IY z
assemblyman(2)	AH s EH m b l IY m AH n
assemblywoman	AH s EH m b l IY w UH m AH n
assert	AH s ER t
assignments	AH s AY n m AH n t s
assimilation	AH s IH m AH l EY SH AH n
assisi	AH s IY s IY
association(2)	AH s OW SH IY EY SH AH n
assumes	AH s UW m z
assumption	AH s AH m p SH AH n
assurance	AH SH UH r AH n s
assured	AH SH UH r d
asters	AE s t ER z
asthmatic	AE z m AE t IH k
asthmatics	EH s TH m EH t IH k s
astonished	AH s t AA n IH SH t
astonishingly	AH s t AA n IH SH IH NG l IY
astound	AH s t AW n d
astounds	AH s t AW n d z
astray	AH s t r EY
astred	AE s t ER d
astro	AE s t r OW
astrogeology	AE s t r AH JH IY AA l AH JH IY
astronaut's	AE s t r AH n AA t s
astronauts	AE s t r AH n AO t s
astrotech	AE s t r OW t EH k
astute	AH s t UW t
asymptote	AE s AH m t OW t
atavistic	AE t AH v IH s t IH k
ataxia	EY t AE k s IY AH
atcor	AE t k AO r
atencio	AH t EH n s IY OW
athenaeum	AE TH AH n IY AH m
athlete	AE TH l IY t
athletic	AE TH l EH t IH k
atienza	AA t IY n z AH
atkins	AE t k IH n z
atkinson's	AE t k AH n s AH n z
atkinson(2)	AE t k IH n s AH n
atkisson	AE t k IH s AH n
atlan	AE t l AH n
atlanta	AE t l AE n t AH
atocha	AH t AA CH AH
atra	EY t r AH
atrocities	AH t r AA s AH t IY z
attaboys	AE t AH b OY z
attached	AH t AE CH t
attaway	AE t AH w EY
attempt	AH t EH m p t
attention	AH t EH n SH AH n
attentively	AH t EH n t IH v l IY
attentiveness	AH t EH n t IH v n AH s
attenuate	AH t EH n j UW EY t
atterberry	AE t ER b EH r IY
attesting	AH t EH s t IH NG
attitude	AE t AH t UW d
attractive	AH t r AE k t IH v
attridge	AH t r IH JH
attuned	AH t UW n d
atwell	AH t w EH l
atwood	AE t w UH d
auber	AO b ER
aubin	AO b IH n
auble	AO b AH l
auch	AO CH
auction	AA k SH AH n
auction's	AO k SH AH n z
auctioning	AO k SH AH n IH NG
audacity	AA d AE s AH t IY
audia	AO d IY AH
audibles	AA d AH b AH l z
audiophiles	AO d IY OW f IY l z
audiotronic	AO d IY OW t r AA n IH k
audiotronics	AO d IY OW t r AA n IH k s
audiovisual	AO d IY OW v IH ZH UW AH l
audits	AA d AH t s
audric	AO d r IH k
audris	OW d r IY s
auel	AW AH l
auen	AW AH n
auer	AW ER
auerbach	AW ER b AA k
aufderheide	AW f d ER h AY d
aufiero	OW f IH r OW
augenstein(2)	AW g AH n s t IY n
augers	AO g ER z
augmenting	AO g m EH n t IH NG
augustson	AO g AH s t s AH n
augustson(2)	AO g AH s AH n
augustus	AA g AH s t AH s
augustyniak	AW g AH s t IH n IY AE k
aujourd'hui's	OW ZH AO r d w IY z
aukerman	AW k ER m AH n
aul	AO l
aulander	OW l AE n d ER
aulds	AO l d z
auman	AO m AH n
aumann	AO m AH n
aureus	AO r EH AH s
auriemma	AO r IY m AH
auschwitz	AO SH w IH t s
ausimont	AW s IH m AA n t
ausley	AO s l IY
ausman	AW s m AH n
auspey	AW s p IY
auspice	AO s p IH s
auster	AO s t ER
austin's	AO s t AH n z
auston	AO s t AH n
australia's	AO s t r EY l j AH z
australian	AO s t r EY l j AH n
australian's	AO s t r EY l j AH n z
austrasia	AO s t r EY ZH AH
austria	AO s t r IY AH
austria's	AO s t r IY AH z
austro	AO s t r OW
autenrieth(2)	AW t IH n r IY TH
autery	OW t ER IY
authement	AW TH m AH n t
authentically	AO TH EH n t IH k l IY
authenticating	AO TH EH n t AH k EY t IH NG
authier	AO TH IY ER
author	AO TH ER
authorities	AH TH AO r AH t IY z
autobiographer	AO t AH b AY AA g r AH f ER
autofact	AO t OW f AE k t
automate	AO t AH m EY t
automatically(2)	AO t OW m AE t IH k l IY
automatics	AO t AH m AE t IH k s
automaton	AO t AA m AH t AA n
autonomy(2)	AH t AA n AH m IY
autorad	AO t OW r AE d
autospa	AO t OW s p AH
autry	AO t r IY
autumn	AO t AH m
auxiliary	AA g z IH l j ER IY
auyeung	AW j UW NG
availability(2)	AH v EY l AH b IH l IH t IY
avantek	AH v AA n t EH k
avants	AA v AO n t s
avarice	AE v ER AH s
avatars	AE v AH t AA r z
avella	AH v EH l AH
avemco's	AH v EH m k OW z
avenel	AA v EY n EH l
avenell	AA v EY n EY l
avenging	AH v EH n JH IH NG
aveni	AA v EH n IY
aventura(2)	AE v AH n CH UH r AH
avera	AA v EH r AH
average(3)	AE v r IH JH
averaging	AE v r IH JH IH NG
averbeck	EY v ER b EH k
averett	AE v ER EH t
aversion	AH v ER ZH AH n
aversive	AH v ER s AH v
averting	AH v ER t IH NG
avian	EY v IY AH n
aviano's	AA v IY AA n OW z
avilla	AH v IH l AH
avionics	EY v IY AA n IH k s
aviv's	AA v IY v z
avocado	AE v AH k AA d OW
avoidable	AH v OY d AH b AH l
avoidance	AH v OY d AH n s
avrett	AE v r EH t
avril(2)	EY v r AH l
avtovaz	AE v t OW v AE z
awad	AH w AA d
aways	EY w EY z
awestruck	AA s t r AH k
awning	AA n IH NG
axa's	AE k s AH z
axes(2)	AE k s IY z
axford	AE k s f AO r d
axial	AE k s IY AH l
axis	AE k s AH s
axle	AE k s AH l
axons	AE k s AA n z
axt	AE k s t
axtell	AE k s t EH l
ay	EY
ayako	AH j AA k OW
ayala	AH j AA l AH
ayars	EY ER z
aydelott	EY d IH l AA t
ayende(2)	AH j EH n d EY
aylmer	EY l m ER
aylworth	EY l w ER TH
ayodhya	AY AA d j AH
ayotte	EY AO t
ayr	EY r
ayyad(2)	AY AE d
azerbaijan's	AA z ER b AY JH AA n z
azerbaijan(2)	AE z ER b AY JH AA n
azhar	AH z AA r
azidothymidine(2)	AH z IH d AH TH AY m AH d AY n
azura	AH z UH r AH
azzaro	AA t s AA r OW
b	b IY
baack	b AA k
baatz	b AA t s
babbio	b AE b IY OW
babbit's	b AE b IH t s
babbitt	b AE b IH t
babbitts	b AE b AH t s
babbs	b AE b z
babich	b AE b IH CH
babies'	b EY b IY z
babington	b AE b IH NG t AH n
babler	b EY b AH l ER
baboon's(2)	b AH b UW n z
babs	b AE b z
babyhood	b EY b IY h UH d
babysitters	b EY b IY s IH t ER z
bacardi	b AH k AA r d IY
baccus	b AE k AH s
bachelder	b AA k EH l d ER
bacheller	b AA k AH l ER
bachelor's	b AE CH AH l ER z
bachelors	b AE CH l ER z
bacigalupo	b AA CH IY g AA l UW p OW
backdates	b AE k d EY t s
backfields	b AE k f IY l d z
backhanded	b AE k h AE n d IH d
backhoe	b AE k h OW
backlashes	b AE k l AE SH AH z
backman	b AE k m AH n
backpacker	b AE k p AE k ER
backrests	b AE k r EH s t s
backs	b AE k s
backsaw(2)	b AE k s AO
backslide	b AE k s l AY d
backstitch	b AE k s t IH CH
backtracked	b AE k t r AE k t
backwoods	b AE k w UH d z
backyards	b AE k j AA r d z
bacot	b AE k AH t
bacote	b AH k OW t
bacus	b AE k IH s
baden's	b AA d AH n z
badges	b AE JH IH z
badillo	b AH d IH l OW
badlands	b AE d l AE n d z
badness	b AE d n AH s
baechle	b EH k AH l
baedeker's	b EY d AH k ER z
bagdikian	b AE g d IH k IY AH n
bagdonas	b AE g d AH n AH z
bagel	b EY g AH l
baggage(2)	b AE g IH JH
baggerly	b AE g ER l IY
baggio's	b AA JH IY OW z
baghdad's	b AE g d AE d z
baginski	b AH g IH n s k IY
baglio	b AE g l IY OW
bagwell	b AE g w EH l
bah	b AA
bahamian	b AH h EY m IY AH n
bahena	b AE h IH n AH
bahm	b AE m
bahman	b AA m AH n
bahr	b EH r
bahrain	b AA r EY n
bahrain(2)	b AY r EY n
bahrainian	b ER EY n IY AH n
bahre	b AA r
baidoan	b AY d OW AH n
baile	b EY l
bailer	b EY l ER
bailor	b EY l ER
baine	b EY n
bairnco	b EH r n k OW
baisch	b AY SH
baity	b EY t IY
bajorek	b AE JH ER EH k
baka	b AA k AH
bakalar	b AE k AH l ER
bakersfield	b EY k ER z f IY l d
bakery	b EY k ER IY
bakes	b EY k s
bakken	b AE k AH n
bakkers	b AE k ER z
balance	b AE l AH n s
balanchine	b AE l AH n CH IY n
balancing	b AE l AH n s IH NG
balas	b AE l AH s
balboa	b AA l b OW AH
balcony	b AE l k AH n IY
balcor	b AE l k AO r
baldauf	b AE l d AW f
balderdash	b AO l d ER d AE SH
balding	b AO l d IH NG
baldini	b AA l d IY n IY
baldo	b AA l d OW
baldonado	b AA l d OW n AA d OW
baldrige	b AO l d r IH JH
balentine	b AA l EH n t IY n IY
balestra	b AH l EH s t r AH
balilan	b AH l IH l AH n
balks	b AO k s
ballad	b AE l AH d
ballantyne	b AH l AE n t AY n
ballard's	b AE l ER d z
ballas	b AE l AH z
balle	b EY l
ballet	b AE l EY
ballet's	b AE l EY z
ballgame	b AO l g EY m
ballo	b AE l OW
balloon	b AH l UW n
balloonists	b AH l UW n IH s t s
ballowe	b AE l AW
ballpark	b AO l p AA r k
ballplayer	b AO l p l EY ER
balodia	b AH l OW d IY AH
balthaser	b AE l TH AH s ER
balthrop	b AE l TH r AH p
baltica	b AE l t IH k AH
baltimore	b AO l t AH m AO r
baltodano	b AO l t OW d AA n OW
balzano	b AA l z AA n OW
balzer	b EY l z ER
bamba	b AE m b AH
bamber	b AE m b ER
bamberger	b AE m b ER g ER
banach	b AE n AH k
banal	b AH n AA l
banalities	b AH n AE l IH t IY z
banana	b AH n AE n AH
banaszak	b AH n AA SH AH k
bancario	b AE n k EH r IY OW
bancorp's(2)	b AE n k AO r p s
bancorp(2)	b AE n k AO r p
banctexas	b AE NG k t EH k s AH s
banda	b AE n d AH
bandanas	b AE n d AE n AH z
bandemer	b AE n d IY m ER
bander	b AE n d ER
banderas	b AE n d ER AH s
bandicoot	b AE n d IH k UW t
bandicoots	b AE n d IH k UW t s
bandleader	b AE n d l IY d ER
bandolier	b AE n d AH l IH r
bandstand	b AE n d s t AE n d
bandwagon	b AE n d w AE g AH n
bandy	b AE n d IY
bane	b EY n
banesto's	b AH n EH s t OW z
baney	b EY n IY
bangalore	b AE NG g AH l AO r
bange	b AE n JH
bangkok	b AE NG k AA k
bangladeshi's	b AE NG l AH d EH SH IY z
bango	b AA NG g OW
bangor	b AE NG g ER
banishing	b AE n IH SH IH NG
bankeast	b AE NG k IY s t
banker's	b AE NG k ER z
banking's	b AE NG k IH NG z
bankruptcy's	b AE NG k r AH p s IY z
bankshares	b AE NG k SH EH r z
bankson	b AE NG k s AH n
bankworcester	b AE NG k w ER CH EH s t ER
bankworcester(2)	b AE NG k w UW s t ER
bannerman	b AE n ER m AH n
banque	b AE NG k
banquet	b AE NG k w AH t
banshee	b AE n SH IY
banta	b AE n t AH
bantams	b AE n t AH m z
bantered	b AE n t ER d
banuelos	b AA n w EH l OW z
banville	b AA n v IH l
banwart	b AE n w AO r t
banyas	b AA n j AH z
banzhaf	b AE n z h AH f
baptism	b AE p t IH z AH m
baptiste	b AH p t IH s t
baptists(2)	b AE p t AH s
baptize	b AE p t AY z
baptized	b AE p t AY z d
barack	b AA r AH k
baragi	b AH r AA g IY
baranski	b ER AE n s k IY
barath	b AE r AH TH
barb	b AA r b
barbaric	b AA r b AE r IH k
barbarino	b AA r b AA r IY n OW
barbarism	b AA r b ER IH z AH m
barbarity(2)	b AA r b EH r AH t IY
barbato	b AA r b AA t OW
barbe	b AA r b
barbecue	b AA r b IH k j UW
barbecue's	b AA r b IH k j UW z
barbecues	b AA r b IH k j UW z
barbed-wire	b AA r b d w AY r
barbell	b AA r b EH l
barbella	b AA r b EH l AH
barbequeing	b AA r b IH k j UW IH NG
barbera	b AA r b EH r AH
barbero	b AA r b EH r OW
barbieri	b AA r b IH r IY
barcelona	b AA r s IH l OW n AH
barch	b AA r k
barclay's	b AA r k l IY z
barclays'	b AA r k l IY z
bard	b AA r d
barden	b AA r d AH n
bardolf	b AA r d OW l f
bardolph	b AA r d AA l f
bardulph	b AA r d AH l f
barefield	b AE r IH f IY l d
bareis	b AE r AY z
barenboim	b EH r AH n b OY m
barenboim's	b EH r AH n b OY m z
barf	b AA r f
barfield	b AA r f IY l d
barfknecht	b AA r f k n EH k t
barfknecht(2)	b AA r f n EH k t
barfuss	b AA r f AH s
bargains	b AA r g AH n z
bargains(2)	b AA r g IH n z
barganier	b AA r g AH n IY ER
barged	b AA r JH d
barillari's	b EH r IH l EH r IY z
barings	b EH r IH NG z
barites	b EH r AY t s
barke	b AA r k
barkett	b AA r k IH t
barkey	b AA r k IY
barkin	b AA r k IH n
barklow	b AA r k l OW
barkman	b AA r k m AH n
barkocy	b AA r k AH s IY
barksdale	b AA r k s d EY l
barkshire	b AA r k SH AY r
barman	b AA r m AH n
barmore	b AA r m AO r
barnabas	b AA r n AH b AH s
barnaby	b AA r n AH b IY
barnell	b AA r n AH l
barnes	b AA r n z
barnette	b AA r n EH t
barney's	b AA r n IY z
barnhart	b AA r n h AA r t
barnicle	b AA r n IH k AH l
barnish	b AA r n IH SH
barno	b AA r n OW
barnum	b AA r n AH m
baron	b AE r AH n
baron's(2)	b EH r AH n z
baron(2)	b EH r AH n
baroness	b EH r AH n IH s
baronets	b EH r AH n AH t s
baroque	b ER OW k
barovsky	b ER AA v s k IY
barrages	b ER AA ZH IH z
barratt	b AE r AH t
barraza	b AA r AA z AH
barre	b EH r IY
barre(2)	b AA r
barreling(2)	b EH r AH l IH NG
barrels(2)	b EH r AH l z
barrera	b AA r EH r AH
barrett	b AE r IH t
barricaded	b AE r AH k EY d IH d
barricades(2)	b EH r AH k EY d z
barrie(2)	b EH r IY
barriers	b AE r IY ER z
barriers(2)	b EH r IY ER z
barring	b AA r IH NG
barringer	b AE r IH NG ER
barroso	b AA r OW s OW
barrows(2)	b EH r OW z
barrus	b AE r AH s
barry	b AE r IY
barsness	b AA r z n AH s
barta	b AA r t AH
bartelt	b AA r t IH l t
bartholomew	b AA r TH AA l AH m j UW
bartko	b AA r t k OW
bartkus	b AA r t k IH s
bartman	b AA r t m AH n
bartnick	b AA r t n IH k
bartone	b AA r t OW n IY
bartos	b AA r t OW z
basara	b AH s EH r AH
baseless	b EY s l AH s
baseline	b EY s l AY n
basenji	b AH s EH n JH IY
bashar	b AH SH AA r
bashed	b AE SH t
bashing	b AE SH IH NG
basi(2)	b EY s IY
basilica(2)	b AH z IH l AH k AH
basilio	b AA s IY l IY OW
basim's	b AA s IY m z
basin	b EY s AH n
bason	b AE s AH n
bassa	b AE s AH
bassett	b AE s IH t
bassette	b AH s EH t
bassoonist	b AH s UW n IH s t
bastow	b AE s t OW
batavia	b AH t EY v IY AH
batboys	b AE t b OY z
batchelder	b AE CH EH l d ER
batchelor	b AE CH AH l ER
bath	b AE TH
bathe	b EY DH
bathers	b EY DH ER z
bathrobes	b AE TH r OW b z
bathurst	b AE TH ER s t
batie	b EY t IY
batignolles	b AE t IH n j OW l AH s
batista's	b AH t IH s t AA z
batra	b AE t r AH
batres	b EY t ER z
bats	b AE t s
battaglini	b AA t AA g l IY n IY
battalion	b AH t AE l j AH n
battalions	b AH t AE l j AH n z
batterer	b AE t ER ER
battipaglia	b AE t IH p AE g l IY AH
battleground	b AE t AH l g r AW n d
battlegrounds	b AE t AH l g r AW n d z
batus	b AE t AH s
batus(2)	b AO t AH s
bauble	b AO b AH l
baubles	b AO b AH l z
baucus(2)	b AE k AH s
baumberger(2)	b AA m b ER g ER
baumel	b AW m AH l
baumer	b AW m ER
baumgard	b AW m g ER d
baumgart	b AW m g AA r t
baumhardt(2)	b AA m h AA r t
baumholder(2)	b AW m h AO l d ER
bautz	b AO t s
bauxite	b AO k s AY t
bavis	b EY v IH s
bawden	b AO d AH n
bawdy	b AO d IY
baybank's	b EY b AE NG k s
baybanks	b EY b AE NG k s
baylor	b EY l ER
bazaar	b AH z AA r
bazan	b EY z AH n
bazile	b AA z AY l
bazzano	b AA t s AA n OW
be(2)	b IY
beacham	b AH SH AE m
beacher	b IY CH ER
beaches(2)	b IY CH IH z
beachheads	b IY CH h EH d z
beaching	b IY CH IH NG
beacom	b IY k AH m
beacons	b IY k AH n z
beadles	b IY d AH l z
beadling	b IY d l IH NG
beagan	b AH g AE n
beagles	b IY g AH l z
beakman's	b IY k m AH n z
bealer	b IY l ER
beall	b IY l
beam's	b IY m z
beanblossom	b IY n b l AH s AH m
beard	b IH r d
beardmore	b IH r d m AO r
beardstown	b IH r d s t AW n
bearish	b EH r IH SH
bears	b EH r z
beas	b IY z
beatnik	b IY t n IH k
beato	b IY AE t OW
beatrice(2)	b IY AH t r IH s
beaucage	b OW k EY JH
beauchene	b OW SH EY n
beaudoin	b OW d OY n
beaudry	b OW d r IY
beauford	b OW f AO r d
beaumier	b OW m IY ER
beauregard(2)	b AO r IH g AA r d
beautician	b j UW t IH SH AH n
beaven	b IY v AH n
becalm	b IH k AA m
became	b IH k EY m
became(2)	b IY k EY m
becca	b EH k AA
becerril	b EY s EH r IY l
bechard	b EH k ER d
becher	b EH k ER
bechler	b EH k l ER
beck's	b EH k s
beckham	b EH k h AE m
beckons	b EH k AH n z
beckwith's	b EH k w IH TH s
beco	b IY k OW
becraft	b IY k r AE f t
becton	b EH k t AH n
bedchamber	b EH d CH EY m b ER
bede	b IY d
bedecked	b IH d EH k t
bedeviled	b IH d EH v AH l d
bedfellows	b EH d f EH l OW z
bedlam	b EH d l AH m
bedlington	b EH d l IH NG t AH n
bednarczyk	b EH d n ER CH IH k
bednarz	b EH d n AA r z
bedouin	b EH d OW AH n
bedrooms	b EH d r UW m z
bee's	b IY z
beebower	b IY b OW ER
beechcraft	b IY CH k r AE f t
beechler	b IY CH l ER
beede	b IY d
beeks	b IY k s
been(2)	b AH n
been(3)	b IH n
beerman	b IH r m AH n
bees	b IY z
beese	b IY z
beevers	b IY v ER z
befits	b IH f IH t s
befitting	b IH f IH t IH NG
began	b IH g AE n
begay	b EH g EY
begelman	b EY g AH l m AH n
beget	b IH g EH t
begg	b EH g
begin	b IH g IH n
beginner	b IH g IH n ER
beginners	b IH g IH n ER z
begley	b EH g l IY
begue	b EY g
beguelin	b EY g AH l IH n
beguile	b IH g AY l
beguiled	b IH g AY l d
behaves	b IH h EY v z
behaving	b IH h EY v IH NG
behaviors	b IH h EY v j ER z
behead(2)	b IY h EH d
behemoth(2)	b IY h AH m AH TH
behler	b EH l ER
behm	b EH m
behmer	b EH m ER
behn	b EH n
behney	b EH n IY
behooves	b IH h UW v z
behrendt	b EH r IH n t
behrns	b EH r n z
behunin	b EH h AH n IH n
beidleman	b AY d AH l m AH n
beiler	b AY l ER
beilfuss	b AY l f AH s
beine	b IY n
beirne	b IH r n
beissel	b AY s AH l
beit(2)	b AY t
beji	b AE ZH IY
bekaert	b AH k EH r t
beker	b EH k ER
bekker	b EH k ER
bel'c	b EH l k
belaboring	b IH l EY b ER IH NG
beladur's	b EH l AH d UH r z
belate	b IH l EY t
belcourt	b EH l k AO r t
beleaguered	b IH l IY g ER d
belem	b EH l EH m
belew	b EH l UW
belgacom	b EH l g AH k AA m
belgian	b EH l JH AH n
belgrade	b EH l g r EY d
belgrade's(2)	b EH l g r AA d z
belier	b EH l j ER
belies	b IH l AY z
believer	b AH l IY v ER
believing	b IH l IY v IH NG
beligerent	b AH l IH JH ER AH n t
belin	b EH l IH n
belittle	b IH l IH t AH l
belittling	b IH l IH t AH l IH NG
belitz	b EH l IH t s
belke	b EH l k
bellantoni	b EH l AA n t OW n IY
bellavance	b EH l AA v AH n s
